Название (App Store),Комментарий,App ID,Bundle ID,Разработчик,Версия,Мин. iOS,iOS,iPadOS,Размер (МБ),Добавлено,RU,TR,IN,US,KZ,AM,AZ,BY,KG,TJ,TM,UA,UZ,DE,EE,FR,IT,LT,LV,PL,HK,CN,TW,BR,CA,GE,IL,JP,ZA
Тракторный Клуб,РСХБ Бизнес,6761844867,com.agro.agriculturalApplication,Natalia Shevchnko,1.0.6,13.0,✓,✓,316.4,28.08.2026,✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗,✗,✗,✗,✗,✗,✗,✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026),✗ (10.09.2026)
Тревел — Артемий Лебедев,,965095586,ru.tema.app,Go Travel Un Limited,2.0.1,11.0,✓,✓,173.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Фабрика знаний,,1613942763,ru.ispringlearn.x5fk,X5 Retail Group,3.38.0,12.0,✓,✓,126.3,14.09.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Черника Онлайн,СургутНефтеГазБанк,6776650255,BlueBR,Bogdan Yarmonov,1.0,15.0,✓,✓,124.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Чижик - доставка продуктов,,1604205783,club.chizhik.iosapp,X5 Retail Group,2.1.0,16.2,✓,✓,195.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Читайник — чтение для детей,,6746245772,ru.yandex.mobile.readie,Direct Cursus Computer Systems Trading,0.0.37_316891,15.0,✓,✓,711.7,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Шедеврум,,1671837122,com.yandex.shedevrus,Direct Cursus Computer Systems Trading,11.12.1,16.0,✓,✓,103.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Школа инвестора,Альфа-Капитал,6767516632,ru.ainvestorschool,Peter Polak,2.140.1,16.0,✓,✓,225.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓
Экстранет Ozon Travel,,6759052688,ru.ozon.travel.extranet,OZON.ru,1.5.0,16.0,✓,✓,92.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
Я.Еда Вендор,,1440757437,ru.yandex.eda.vendor.store,Mikromobilnost doo,3.5.0,13.0,✓,✓,13.1,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
"Я.Путешествия: Отели, ЖД, Авиа",,1632443454,ru.yandex.travel,Direct Cursus Computer Systems Trading,2.20.0,17.0,✓,✓,343.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Go: Такси Еда Доставка,,472650686,ru.yandex.ytaxi,Mikromobilnost doo,700.158.0,16.0,✓,✓,567.5,28.08.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс ID – аутентификатор 2FA,,957324816,ru.yandex.mobile.kluch,Direct Cursus Computer Systems Trading,5.5.0,15.0,✓,✓,128.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Авиабилеты,,1033887671,ru.yandex.mobile.avia,Direct Cursus Computer Systems Trading,2.7.0,17.0,✓,✓,292.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Аптеки: заказ лекарств,,1438655106,ru.mail.vseapteki,Mikromobilnost doo,26.28.0,16.0,✓,✓,328.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Аренда,,1638372880,ru.yandex.mobile.arenda,Direct Cursus Computer Systems Trading,2.39,17.0,✓,✓,264.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
"Яндекс Афиша: культура, билеты",,1119361771,ru.yandex.mobile.afisha,Direct Cursus Computer Systems Trading,3.72.0,15.0,✓,✓,135.2,28.08.2026,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Байк,,6749844556,ru.yandex.yandexbike.ios,Mikromobilnost doo,96.08,15.5,✓,✓,407.2,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Яндекс Браузер для Организаций,,6742537534,ru.yandex.mobile.browser.corporate,Direct Cursus Computer Systems Trading,26.8.2.1008,15.0,✓,✓,335.2,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Браузер с Алисой AI,,483693909,ru.yandex.mobile.search,Direct Cursus Computer Systems Trading,26.8.5.722,15.0,✓,✓,344.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Вектор,,6748639364,com.yandex.corp.tracking.app.ios,Mikromobilnost doo,90.07,16.0,✓,✓,379.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
Яндекс Директ для бизнеса,,583627331,ru.yandex.direct,Direct Cursus Computer Systems Trading,4.12.0,16.0,✓,✓,100.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Диск - Хранилище фото,,553266487,ru.yandex.disk,Direct Cursus Computer Systems Trading,6.13.0,16.0,✓,✓,497.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Драйв: Каршеринг,,1318875022,ru.yandex.mobile.drive,Mikromobilnost doo,385.0.1,16.0,✓,✓,307.7,28.08.2026,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Еда: доставка еды,,1078986931,com.appkode.foodfox,Mikromobilnost doo,26.35.0,16.0,✓,✓,326.6,28.08.2026,✓,✗,✓,✓,✓,✓,✓,✓,✗,✓,✓,✗,✓,✗,✗,✓,✗,✗,✗,✗,✓,✗,✓,✓,✓,✗,✓,✓,✓
Яндекс Заправки,,963153237,ru.yandex.mobile.gasstations,Mikromobilnost doo,523.0.0,15.0,✓,✓,270.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Игры,,1614060184,ru.yandex.mobile.games,Direct Cursus Computer Systems Trading,26.010.0,14.0,✓,✓,203.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Интернетометр,,6756872255,com.yandex.internetometer,Direct Cursus Computer Systems Trading,1.1.1,15.0,✓,✓,21.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Исполнители,,1559549371,ru.yandex.mobile.services.clients,Direct Cursus Computer Systems Trading,1.21,15.0,✓,✓,93.7,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✗,✗,✓,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Яндекс Исполнители: заказы,,1537579597,ru.yandex.mobile.services,Direct Cursus Computer Systems Trading,1.21,15.0,✓,✓,94.5,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✗,✗,✓,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Яндекс Календарь,,6621180502,com.yandex.calendar.app,Direct Cursus Computer Systems Trading,1.22.0,17.0,✓,✓,230.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Карты и Навигатор,,313877526,ru.yandex.traffic,Direct Cursus Computer Systems Trading,30.2.1,16.0,✓,✓,918.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Клавиатура,,1053139327,ru.yandex.mobile.keyboard,Direct Cursus Computer Systems Trading,26.16.0,15.0,✓,✓,277.6,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Книги: читать и слушать,,6443391664,ru.plus.bookmate,Direct Cursus Computer Systems Trading,2.85.0,16.0,✓,✓,337.4,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Яндекс Лавка — заказ продуктов,,1515819287,ru.yandex.lavka,Mikromobilnost doo,2.45.0,16.0,✓,✓,356.1,28.08.2026,✓,✗,✓,✓,✗,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Маркет для продавцов,,1581770844,ru.yandex.mobile.market.partner,Mikromobilnost doo,2.77.1,16.0,✓,✓,194.1,28.08.2026,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Маркет: покупки онлайн,,1369890634,ru.yandex.blue.market,Mikromobilnost doo,2026.34.1,15.0,✓,✓,238.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Маршрутизация,,6612025334,com.yandex.routeq,Direct Cursus Computer Systems Trading,2.17.02,16.0,✓,✓,389.0,28.08.2026,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Яндекс Мессенджер для бизнеса,,1124487701,ru.yandex.mobile.yamb,Direct Cursus Computer Systems Trading,24115.9,15.0,✓,✓,403.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Метро — Москва с МЦД,,392589075,ru.yandex.mobile.metro,Direct Cursus Computer Systems Trading,3.9.0,14.0,✓,✓,122.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
"Яндекс Музыка, книги, подкасты",,520797969,ru.yandex.mobile.music,Direct Cursus Computer Systems Trading,8.07,17.0,✓,✓,285.9,28.08.2026,✓,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
"Яндекс Навигатор – GPS, Пробки",,474500851,ru.yandex.mobile.navigator,Direct Cursus Computer Systems Trading,30.7.2,17.0,✓,✓,859.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Недвижимость. Квартиры,,1020247568,ru.yandex.mobile.realty,Direct Cursus Computer Systems Trading,7.5,17.0,✓,✓,279.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Переводчик,,584291439,ru.yandex.mobile.translate,Direct Cursus Computer Systems Trading,26.15.0,15.0,✓,✓,190.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Плюс,,6760909596,ru.superapp.plus,Direct Cursus Computer Systems Trading,1.6.0,17.0,✓,✓,464.7,01.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Яндекс Погода — Карта осадков,,1041008044,ru.yandex.mobile.weather-v2,Direct Cursus Computer Systems Trading,26.09.20,17.0,✓,✓,166.2,28.08.2026,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✗,✗,✓,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Яндекс Почта,,441785419,ru.yandex.mail,Direct Cursus Computer Systems Trading,5.12.0,17.0,✓,✓,684.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Практикум: обучение,,1624666188,ru.yandex.practicum.flutter-practicum,Direct Cursus Computer Systems Trading,4.9.2,17.0,✓,✓,133.9,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Яндекс Про: водители и курьеры,,1496904594,ru.yandex.taximeter.flutter.ios,Mikromobilnost doo,13.67.02,16.0,✓,✓,699.6,28.08.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Радио — все станции,,6748958021,ru.yandex.fmradio,Direct Cursus Computer Systems Trading,1.55,17.0,✓,✓,88.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Разговор: помощь глухим,,6443816148,ru.yandex.talk,Direct Cursus Computer Systems Trading,26.1.0,15.0,✓,✓,207.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Ритм: Идеи для покупок,,6477834713,ru.yandex.rhythm,Direct Cursus Computer Systems Trading,2.57,16.0,✓,✓,61.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Сим,,6762205316,ru.yandex.simapp,Direct Cursus Computer Systems Trading,1.1.0,15.0,✓,✓,56.7,28.08.2026,✓,✓,✗,✓,✓,✓,✗,✓,✓,✗,✗,✗,✓,✓,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✓,✗,✗,✗
Яндекс Смена для бизнеса,,6502285837,com.smena.demand,Mikromobilnost doo,1.43.0,15.0,✓,✓,130.1,28.08.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Смена: поиск подработки,,6449738595,com.yandex.bluecollars.ios,Mikromobilnost doo,96.14.01,16.0,✓,✓,465.0,28.08.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс Трекер,,1351761680,ru.yandex.mobile.tracker,Direct Cursus Computer Systems Trading,2.18.0,16.5.1,✓,✓,25.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Цветы: доставка букетов,,6780427339,ru.yandex.flowers,Mikromobilnost doo,26.35.0,16.0,✓,✓,318.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Чаевые: на карту по QR,,1513175603,com.chaevieprostoApp,Yandex LLC,3.0.7,13.4,✓,✓,18.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс Электрички и ЖД билеты,,387272416,ru.yandex.rasp,Direct Cursus Computer Systems Trading,3.48.0,16.0,✓,✓,261.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Яндекс — с Алисой AI,,1050704155,ru.yandex.mobile,Direct Cursus Computer Systems Trading,26.8.5.718,15.0,✓,✓,389.0,28.08.2026,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✗,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Яндекс.Авто с поддержкой Bosch,,1470055725,ru.yandex.mobile.auto,Direct Cursus Computer Systems Trading,1.20,12.0,✓,✓,35.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Ярмарка Дома,Своё | Родное,6781311617,com.housefair.app,Anton Mozloev,2.35.1,13.0,✓,✓,161.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
